x1,x2,label
0.685345,1.426310,1
0.352812,1.482045,1
0.778692,1.263670,1
-0.636859,0.228652,0
-0.700997,1.938506,1
0.389282,0.640710,1
0.753939,0.495626,1
1.857568,-0.802188,1
-0.216243,1.847775,1
0.633348,-0.804536,2
-0.975187,0.191733,0
-0.063060,0.840396,1
-2.025771,-1.311936,0
-1.827467,0.134679,0
-0.195688,-1.686770,0
-0.122166,0.306646,2
-0.560892,1.710085,1
-0.613042,0.767742,2
-0.304958,-0.720567,0
-1.332669,0.095446,0
-1.935787,0.210807,0
1.052853,2.065584,1
0.754719,1.696048,1
0.744579,1.344559,1
0.612935,0.877021,1
0.663448,-0.711472,2
-1.371626,0.103845,0
0.649539,-1.851988,0
1.265249,-0.692336,1
-2.128356,-0.150833,0
0.050693,0.404018,1
0.476321,0.757426,1
2.700769,0.714222,1
-1.825195,-0.729421,0
1.065268,-0.638201,1
-1.098849,-1.100617,0
1.962545,0.996782,1
-0.832819,-0.262640,0
0.544864,0.896198,1
-0.317526,1.333001,1
0.477731,-0.810045,0
0.251687,0.200371,1
1.685434,-1.829435,2
-0.028189,-1.035519,0
0.120752,-0.171069,2
-0.378362,0.581895,1
0.271414,0.963893,1
0.016913,-0.858007,0
1.911033,0.458376,1
1.175834,-0.280325,1
1.262909,-1.778279,0
0.018307,-1.409259,0
-0.166187,1.295455,1
0.435294,1.975838,1
1.707687,-0.548674,1
1.332862,-0.636345,1
-0.216068,-0.638072,0
-0.845319,-1.647246,0
-0.281348,0.379421,2
-1.375931,1.037064,0
0.676075,1.819011,1
0.813794,-0.091697,1
-1.221832,0.423770,0
-0.608430,-1.368000,0
1.116376,0.137889,1
-0.173554,-0.897365,0
-2.386367,0.405141,0
-0.474655,1.504615,1
0.251925,-1.059935,0
-1.017882,-0.841000,0
-1.638227,0.394895,0
-0.458812,0.108132,0
-0.484722,0.339520,2
1.509863,-0.178253,1
-2.513007,0.942856,0
-0.840162,0.697270,2
-1.459264,0.110496,0
-0.554107,-0.593239,0
0.972056,1.461710,1
-0.039627,0.136571,2
0.364379,2.249560,1
-0.083816,0.706036,1
-0.413723,0.635726,1
-0.878969,0.821812,2
0.714437,0.242171,1
-1.022929,0.427448,0
-0.077000,-0.231555,0
-1.026633,-1.232087,0
-0.501388,1.175190,1
0.055872,2.265459,1
0.154816,2.128116,1
-1.102115,0.072899,0
0.642644,-0.840973,2
-0.459653,-0.973811,0
-2.605412,-1.997219,0
1.882564,-0.139260,1
0.353132,-0.563317,0
0.586379,-1.999181,0
-2.746761,0.242251,0
0.333465,-0.547649,0
0.634493,1.031240,1
-0.650559,-1.594721,0
1.087162,-0.912968,2
-0.090661,0.821582,1
-0.747114,-0.922621,0
-0.468106,-0.477145,0
-0.372516,-0.642110,0
1.772525,-1.523887,1
-0.135779,-1.969579,0
-0.317077,-0.652957,0
-1.516400,-0.266974,0
-1.143114,0.584297,0
-1.580000,0.006546,0
-0.579051,-2.022561,0
-0.112844,0.227430,2
-2.111699,1.054540,0
-0.864945,0.527519,0
-0.964436,-0.603720,0
-0.905600,-0.226465,0
1.114002,0.123205,1
-1.255254,0.831869,0
0.021004,-0.054624,2
-0.183952,0.525311,1
0.065872,-0.532326,0
-2.271414,-0.463803,0
-0.473401,1.219005,1
1.040756,0.491869,1
1.597631,-0.635894,1
-0.261020,-0.152145,0
0.531512,0.612000,1
1.370331,-0.095154,1
-2.411732,0.198427,0
1.062642,1.255283,1
-0.608995,2.075947,1
-0.322683,-1.274030,0
0.138354,0.136799,1
-0.373250,-1.707816,0
-1.305899,1.780624,1
1.753384,1.923446,1
-0.193422,-0.260774,0
-0.361344,0.897817,1
0.204575,-1.837885,0
0.784305,-0.502051,1
-0.803770,1.378133,1
-0.695784,-1.265936,0
1.563467,0.240463,1
0.088224,-1.183777,0
-0.706311,-0.387595,0
1.087168,-0.014603,1
0.846098,0.074117,1
-0.171139,-0.021910,2
1.030107,-0.088098,1
0.933691,1.147562,1
-0.535130,-1.454939,0
-1.380660,-0.329563,0
-0.194230,-1.262566,0
0.320913,1.897430,1
-0.064802,-0.313127,0
0.054661,0.105286,2
0.213730,-1.002944,0
1.084565,0.323125,1
1.937676,-0.011971,1
0.997406,1.101709,1
0.898713,-1.466923,0
-1.812000,-0.521473,0
-1.427001,1.858794,1
0.024841,-1.656565,0
-0.327319,-0.428947,0
-0.289519,1.963075,1
-1.222995,-0.247120,0
-1.489366,-1.953065,0
0.159535,-0.617895,0
0.423205,-2.272409,0
0.433432,-0.626651,2
0.030164,1.447593,1
-1.044903,-1.717474,0
0.256139,-0.364854,2
-0.886357,-1.222450,0
-3.408051,-0.866275,0
0.272481,0.182333,1
-0.057967,0.275778,1
-1.489403,2.567859,1
0.262117,-0.275178,2
1.099923,-0.800759,1
0.332773,1.767212,1
-0.166701,-0.275008,0
0.920749,1.091450,1
-2.038136,-0.501216,0
-0.244706,1.498883,1
-0.014110,-1.152429,0
-0.095444,-0.959383,0
-1.599044,0.212866,0
-0.271278,0.850910,1
-0.176173,0.457707,1
0.869461,1.113515,1
-0.329876,-0.486458,0
-0.304597,0.047712,0
-0.776225,0.800342,2
0.794861,2.242720,1
0.982352,0.453490,1
-0.892691,-1.366697,0
0.105739,0.563067,1
-1.979468,1.162668,0
2.059831,0.198036,1
1.361175,-0.193371,1
-0.286355,-0.254507,0
1.036602,-0.423138,1
1.029763,1.345587,1
-0.832555,-0.659794,0
0.445109,0.031998,1
-2.098127,-0.680741,0
-0.550359,0.731932,2
-0.167274,-0.613154,0
-1.010607,-0.275906,0
0.605516,0.444458,1
-1.319434,-0.181627,0
0.025468,-0.688937,0
-1.403966,-1.916250,0
0.264519,0.842992,1
0.721354,-0.355074,1
-1.347853,1.331285,2
0.828891,-1.940772,0
0.703068,-0.201279,1
0.432580,-0.478565,2
2.013378,-0.438510,1
-0.633825,0.758192,2
-0.033677,0.196130,2
0.238732,0.022140,1
-0.274371,0.290306,2
-1.002405,0.422589,0
-0.179581,1.092381,1
-1.436179,-0.376688,0
0.475870,-0.520747,2
-2.363840,0.873555,0
1.081764,-0.671156,1
-2.469802,-2.139911,0
1.625959,1.136454,1
0.120387,-0.475242,0
0.721505,-0.735136,2
-0.030420,0.174922,2
0.924928,0.621871,1
-1.352275,0.793546,0
-1.136933,-0.868147,0
-0.691551,-0.216181,0
0.130570,-0.657110,0
1.875143,-2.948995,0
-0.191616,0.543147,1
-0.305729,-0.075154,0
-1.234401,1.899815,1
1.230345,0.237070,1
-0.877951,-0.139663,0
-0.544222,0.278239,0
0.002835,0.497645,1
1.614329,0.766783,1
-2.152024,-0.925951,0
-0.742316,-1.230725,0
1.050741,-0.069928,1
-1.825328,-1.922444,0
0.986227,-0.439041,1
-0.021169,0.193903,2
0.779419,0.860988,1
-1.678888,0.045674,0
1.183069,-2.207872,0
0.238258,2.166629,1
-0.545728,-0.029073,0
-0.110915,-0.169558,0
-0.513033,-1.554844,0
-1.236455,-0.923327,0
1.359737,1.746349,1
-0.539181,-1.881352,0
-0.444379,1.222117,1
0.182115,-0.876866,0
-1.210013,-0.359873,0
1.227396,0.450505,1
0.143361,-2.395318,0
-0.730412,1.263073,1
0.139672,-0.149114,2
1.067204,1.079047,1
-0.603187,0.732631,2
-0.396065,-0.572151,0
0.621592,-0.565726,2
0.720144,0.920930,1
-0.158832,-1.075092,0
0.851835,2.289741,1
0.010740,-0.812686,0
-0.786469,-1.032941,0
-0.734606,-0.573577,0
-0.816829,-0.566360,0
-0.942049,-1.464452,0
-0.304518,1.248352,1
2.444033,-1.692630,1
-0.139338,-1.992522,0
0.161357,-2.274315,0
0.138180,0.932333,1
1.062526,1.364996,1
3.022451,1.136063,1
1.050850,0.712022,1
1.136336,0.426060,1
0.463476,-0.022277,1
0.589697,-0.807935,0
-2.364894,-2.374980,0
-1.070567,-0.941379,0
0.562923,-0.336716,1
0.953314,0.399019,1
0.423500,-0.730714,0
0.763177,0.679757,1
1.484707,-0.299067,1
2.306038,-0.601469,1
0.376557,-0.443691,2
0.088052,-0.444623,0
1.174372,-0.831590,1
-1.849287,0.842175,0
-0.052071,-0.119997,2
-0.475908,1.870288,1
-0.092476,-0.426777,0
-0.256210,-0.664329,0
-1.096696,0.456760,0
0.837247,0.162366,1
0.836859,-2.022082,0
-0.022798,0.719264,1
-1.633006,1.290081,0
0.582973,-0.669464,2
-0.080596,0.070642,2
0.014306,-1.395288,0
-1.001829,0.510907,0
0.019086,-0.212924,2
0.856696,-0.751282,2
-1.037764,-0.458574,0
-1.833486,0.006663,0
1.495737,0.770689,1
-0.490718,0.607725,2
0.070827,-0.237559,2
0.326133,-0.490667,2
0.033715,1.034998,1
0.444599,1.855825,1
-0.454700,0.392506,2
-0.065475,0.756013,1
-0.099984,0.243733,2
-1.756045,0.827572,0
0.986071,-0.915618,2
-1.158495,-0.221106,0
-0.859192,1.560280,1
-0.318842,0.342383,2
-0.141748,-0.881957,0
2.407066,-0.984866,1
-1.142630,1.132501,2
0.533585,1.457762,1
-0.057125,-0.892905,0
-0.556705,0.784760,1
-0.031359,-0.266544,0
1.505589,-1.225401,1
-0.203795,-0.265855,0
-1.186067,1.109265,2
-0.149368,2.352884,1
-0.696623,0.471935,0
-0.702503,-0.039862,0
-0.705165,-0.460005,0
-0.859195,-0.489821,0
-0.111884,-2.122397,0
1.084764,0.204130,1
0.702118,0.128091,1
0.327656,-1.153486,0
-0.520494,0.137827,0
0.515851,-0.336244,2
1.125956,-0.569086,1
1.232463,-0.531803,1
-0.477330,0.560632,2
-0.186709,0.385103,2
-0.595243,-0.871767,0
0.191472,0.006213,2
-0.375386,0.172669,0
-0.289500,-0.369782,0
-1.409798,2.071406,1
-0.822976,0.446111,0
-0.013719,-0.528597,0
-0.980218,-0.082760,0
-0.788363,-0.584255,0
0.670699,-0.438735,1
0.827434,0.328306,1
0.165854,1.076346,1
-0.144734,0.031974,2
0.616234,-0.259320,1
1.179969,1.140282,1
1.639852,-0.830100,1
-1.620562,0.359340,0
0.499350,-1.092476,0
-0.916843,-1.021144,0
0.908925,0.155278,1
-1.269782,1.978225,1
0.074671,-0.102744,2
0.417324,1.347272,1
-1.019021,-0.489129,0
-2.064855,-1.588719,0
0.510697,0.705786,1
-1.905414,-1.296669,0
-1.067800,-0.061025,0
-0.845634,0.174242,0
-2.469441,1.594594,0
0.741391,-0.861979,2
-0.055947,-0.118843,2
-0.469920,-0.822274,0
-0.831077,0.525554,0
0.419827,-0.176776,1
1.974890,0.224110,1
-0.284097,-1.053613,0
0.701544,0.150986,1
1.022185,-0.777059,1
0.684378,-2.065020,0
1.711085,-0.578222,1
-0.354631,-0.708923,0
0.064471,1.654004,1
0.217729,-1.261039,0
-0.297353,0.110616,2
0.147979,-0.861830,0
-1.675426,1.153402,0
1.123001,-0.487744,1
-0.761715,0.432882,0
0.682193,-0.300622,1
0.161960,-0.407444,0
-2.876536,0.201518,0
2.503318,0.311345,1
0.929216,-0.695856,1
-0.779203,-1.160281,0
0.936716,0.233226,1
0.619204,-1.158237,0
0.825365,2.521366,1
-1.007375,0.035761,0
0.697107,0.968361,1
-0.886050,-0.125669,0
-2.159681,1.141777,0
-1.652454,1.839658,2
0.408482,0.899956,1
0.751964,0.837562,1
-0.139104,0.562002,1
-0.883597,1.578856,1
-0.505097,1.491351,1
-0.319170,1.103058,1
1.276371,0.257025,1
-0.205865,0.791227,1
-0.833278,-0.246597,0
-0.434730,0.623947,2
-1.140792,-0.417449,0
0.568876,-1.487208,0
0.226077,-0.050817,2
-0.242214,0.811746,1
1.764586,0.535301,1
0.295460,0.558206,1
1.117062,-0.386050,1
0.597380,0.477018,1
-1.222835,0.606458,0
0.890248,-0.650299,1
-0.552115,0.613343,2
-0.060229,-0.202413,0
0.928699,0.484493,1
-1.017477,-0.805438,0
0.071121,-0.302001,0
1.415964,-0.409802,1
0.386868,0.676593,1
-0.066183,-0.596988,0
0.638655,0.220382,1
0.003567,1.094445,1
0.501874,-0.823868,0
2.179684,-2.194942,2
0.409421,-0.906095,0
-1.384888,1.338802,2
0.083429,-1.032927,0
-0.309157,2.174632,1
0.031091,-1.699891,0
0.551787,-1.020686,0
-1.946736,0.093480,0
-0.399207,2.512929,1
-0.976035,-0.262231,0
0.757569,0.724396,1
2.157410,0.714207,1
0.548755,1.606815,1
-1.408269,-0.886028,0
0.332186,-0.894208,0
1.223006,-0.301262,1
-0.402225,-1.527480,0
0.653310,0.557210,1
0.241294,0.146338,1
1.348077,-1.367728,2
-0.474480,0.342212,2
-0.850298,1.002549,2
0.280042,-1.210392,0
-0.498152,0.308197,2
-0.115700,2.344307,1
-1.221492,-0.033249,0
1.345953,-0.129362,1
1.047380,-1.205264,2
-0.087767,-0.591539,0
0.493758,-0.431685,2
0.699975,0.058361,1
-1.440533,0.419425,0
2.352379,-1.192166,1
-0.995442,1.499048,1
-1.497597,0.420565,0
-0.763306,-1.375726,0
0.537562,1.114865,1
0.188667,-0.746503,0
-0.231049,0.441187,1
-0.849992,-1.475328,0
0.083186,0.125070,1
-0.346658,0.830453,1
-0.356997,-0.513105,0
-1.549895,-1.065065,0
-0.035553,0.308800,1
0.403310,-0.222848,2
-0.091433,-0.861725,0
-0.020532,-0.473722,0
-0.311856,-0.389074,0
-0.226273,-1.075509,0
0.241872,0.897784,1
-1.252606,0.200211,0
0.169878,-0.477566,0
0.833771,0.357887,1
0.473653,-1.094051,0
0.546848,1.369685,1
0.317091,0.098341,1
-0.763946,0.788030,2
-0.150670,-1.207687,0
-1.024889,0.315436,0
-0.803036,-1.326965,0
1.378227,0.931491,1
1.386248,0.057896,1
1.853089,0.242364,1
1.705704,0.334214,1
0.415155,0.874201,1
0.792556,-0.248737,1
0.403593,0.023762,1
1.589772,-0.576408,1
-1.174736,2.795553,1
2.701988,-1.778793,1
0.443477,0.535930,1
0.438415,-1.649016,0
0.092001,0.589722,1
-2.620433,0.488610,0
1.472715,-1.355060,2
0.207689,-1.524374,0
0.460137,0.316199,1
-2.502199,0.575622,0
-0.236933,-1.023950,0
0.050365,-1.601456,0
1.122333,-1.427073,0
0.631664,1.609295,1
-1.535360,-0.871802,0
-0.697869,0.222858,0
-2.176854,0.094116,0
1.558471,-2.293051,0
0.803915,0.488200,1
-0.958566,-0.563292,0
0.902422,0.683665,1
-1.003854,1.256351,1
0.823968,1.038308,1
0.946679,-1.024953,2
0.206716,1.035264,1
-0.627917,-0.668632,0
-0.504692,-1.761879,0
-0.740490,0.252582,0
0.266995,-0.899498,0
0.063079,-1.659943,0
0.508561,-0.120885,1
0.419468,-0.576397,2
1.417357,-1.438632,2
0.233649,0.713960,1
1.476549,0.359220,1
-0.657641,0.271109,0
-3.168283,-0.409613,0
-0.697953,-0.866530,0
1.985959,0.116857,1
0.224780,0.077834,1
-0.153665,0.855149,1
-0.472348,-0.095671,0
-0.892650,0.263754,0
-0.546380,0.012586,0
0.622752,-0.500723,2
-2.419947,-1.123304,0
0.191459,-1.809231,0
0.222352,-1.357942,0
-0.111481,-1.015198,0
0.055297,1.488420,1
0.497804,-0.453329,2
0.402388,-0.443662,2
